cpd_algo,forecast_algo,n_forecast_driven_better,n_tie,n_raw_better,n_missing
Binseg,ARIMA,1,2,0,0
Binseg,HybridKNNMLP,1,1,1,0
Binseg,HybridLRXGB,1,1,1,0
Binseg,HybridLassoMLP,1,1,1,0
Binseg,HybridLassoXGB,1,1,1,0
Binseg,KNN,0,3,0,0
Binseg,LR,2,0,1,0
Binseg,LSVR,1,1,1,0
Binseg,Lasso,0,1,2,0
Binseg,MLP,2,1,0,0
Binseg,SARIMAX,1,2,0,0
Binseg,SGD,0,2,1,0
Binseg,SVR,2,1,0,0
Binseg,XGB,0,2,1,0
BottomUp,ARIMA,0,3,0,0
BottomUp,HybridKNNMLP,0,3,0,0
BottomUp,HybridLRXGB,0,3,0,0
BottomUp,HybridLassoMLP,0,3,0,0
BottomUp,HybridLassoXGB,0,3,0,0
BottomUp,KNN,0,3,0,0
BottomUp,LR,0,3,0,0
BottomUp,LSVR,1,2,0,0
BottomUp,Lasso,0,2,1,0
BottomUp,MLP,0,2,1,0
BottomUp,SARIMAX,0,3,0,0
BottomUp,SGD,0,3,0,0
BottomUp,SVR,1,2,0,0
BottomUp,XGB,0,3,0,0
KernelCPD,ARIMA,1,2,0,0
KernelCPD,HybridKNNMLP,0,3,0,0
KernelCPD,HybridLRXGB,0,2,1,0
KernelCPD,HybridLassoMLP,0,2,1,0
KernelCPD,HybridLassoXGB,0,2,1,0
KernelCPD,KNN,0,3,0,0
KernelCPD,LR,1,0,2,0
KernelCPD,LSVR,2,1,0,0
KernelCPD,Lasso,0,1,2,0
KernelCPD,MLP,1,0,2,0
KernelCPD,SARIMAX,1,2,0,0
KernelCPD,SGD,0,2,1,0
KernelCPD,SVR,0,3,0,0
KernelCPD,XGB,0,2,1,0
Pelt,ARIMA,1,2,0,0
Pelt,HybridKNNMLP,0,2,1,0
Pelt,HybridLRXGB,1,1,1,0
Pelt,HybridLassoMLP,0,2,1,0
Pelt,HybridLassoXGB,0,2,1,0
Pelt,KNN,0,3,0,0
Pelt,LR,2,0,1,0
Pelt,LSVR,2,1,0,0
Pelt,Lasso,0,2,1,0
Pelt,MLP,2,1,0,0
Pelt,SARIMAX,1,2,0,0
Pelt,SGD,1,1,1,0
Pelt,SVR,1,2,0,0
Pelt,XGB,0,2,1,0
Window,ARIMA,1,1,1,0
Window,HybridKNNMLP,1,1,1,0
Window,HybridLRXGB,0,1,2,0
Window,HybridLassoMLP,1,0,2,0
Window,HybridLassoXGB,0,1,2,0
Window,KNN,0,2,1,0
Window,LR,1,0,2,0
Window,LSVR,1,1,1,0
Window,Lasso,0,1,2,0
Window,MLP,2,0,1,0
Window,SARIMAX,1,1,1,0
Window,SGD,0,1,2,0
Window,SVR,0,2,1,0
Window,XGB,0,1,2,0
